Semana,Cancelled,Total_Orders,Cancel_Rate
2025-10-19,109,769,0.1417
2025-10-26,72,929,0.0775
2025-11-02,158,1505,0.105
2025-11-09,236,2033,0.1161
2025-11-16,148,1629,0.0909
2025-11-23,223,2012,0.1108
2025-11-30,294,3500,0.084
2025-12-07,510,4354,0.1171
2025-12-14,414,4496,0.0921
2025-12-21,473,4427,0.1068
2025-12-28,634,4371,0.145
2026-01-04,471,3993,0.118
2026-01-11,610,5083,0.12
2026-01-18,506,5252,0.0963
2026-01-25,576,6452,0.0893
2026-02-01,724,6860,0.1055
2026-02-08,704,6739,0.1045
2026-02-15,793,6979,0.1136
2026-02-22,1162,9059,0.1283
2026-03-01,1010,8377,0.1206
2026-03-08,1014,7738,0.131
2026-03-15,1363,9209,0.148
2026-03-22,1426,8703,0.1639
2026-03-29,1158,8719,0.1328
2026-04-05,780,6753,0.1155
2026-04-12,414,6274,0.066
2026-04-19,522,7191,0.0726
2026-04-26,771,8204,0.094
2026-05-03,1164,10933,0.1065
2026-05-10,1364,12661,0.1077
2026-05-17,819,9305,0.088
2026-05-24,799,8470,0.0943
2026-05-31,779,9481,0.0822
2026-06-07,601,8156,0.0737
2026-06-14,517,8613,0.06
2026-06-21,695,9574,0.0726
2026-06-28,954,10646,0.0896
2026-07-05,863,9166,0.0942
2026-07-12,325,4243,0.0766
