mes,CLAIM_TYPE,bpp_meli_lc,bpp_recovery_lc,casos
202601,Otros,37000,4641010.75,468
202601,Lowcost,354810.48,14419.7,47
202601,Devolucion Fallida,17480,122816.5,5
202601,Bonificador,49529.9,0,5
202601,Damaged,59469.9,13000,4
202601,Incompleto,18646.8,0,3
202601,PNR Contradictorio,0,15054.8,2
202601,Etiquetas Return sin ME,22087.03,50040.25,2
202601,PDD sin Devoluciones,45415,0,2
202602,Otros,114674.1,7522965.6,751
202602,Lowcost,441194.65,54754.24,67
202602,Bonificador,48027.87,44525.43,8
202602,Devolucion Fallida,15697,138916,7
202602,Incompleto,94393.98,0,6
202602,PNR Contradictorio,0,68527.4,4
202602,Damaged,62188.79,4054.15,4
202602,Extravios,0,54158,3
202602,PDD sin Devoluciones,22565,0,1
202602,Etiquetas Return sin ME,5758.46,12781.54,1
202602,Diferente,17999,0,1
202603,Otros,111572.1,12439715.19,1191
202603,PNR Contradictorio,461065.85,495977.19,196
202603,Lowcost,823129.61,76141,133
202603,Bonificador,106387.97,269326.99,18
202603,Incompleto,87677,0,8
202603,Devolucion Fallida,73097.25,82238,5
202603,Damaged,27482.37,12919.98,4
202603,PDD sin Devoluciones,27939.33,0,2
202603,Caja Vacia,0,62020,2
202603,Diferente,27999,0,1
202603,No Funciona,0,58344,1
202604,Otros,83979,6807921.42,678
202604,Lowcost,634038.56,0,89
202604,PNR Contradictorio,0,224747.95,17
202604,Bonificador,81230.75,67549.22,12
202604,Incompleto,73517,0,7
202604,Damaged,50044.5,0,5
202604,Devolucion Fallida,11997,93326,4
202604,Caja Vacia,18099,63188,3
202604,No Funciona,29661.6,0,1
202604,PDD sin Devoluciones,25960,0,1
202605,Otros,115571.1,12119451.04,1252
202605,Lowcost,773164.97,0,95
202605,PNR Contradictorio,0,153352.9,25
202605,Bonificador,282791.17,85022.34,23
202605,Damaged,65670.75,0,6
202605,Devolucion Fallida,30096,194857.01,6
202605,Caja Vacia,0,102110,4
202605,PDD sin Devoluciones,45143,0,3
202605,Extravios,3999,8134,1
202605,Incompleto,19890,0,1
